name,fmin (Hz),fmax (Hz),F0 25th percentile (Hz),F0 50th percentile (Hz),F0 75th percentile (Hz),F0 Mean (Hz),F0 Delta Mean (Hz),RMS Mean,RMS Delta Mean,Spectral Centroid Mean (Hz),Spectral Centroid Delta Mean (Hz),Adjusted Centroid Mean,HNR Mean,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC Delta1,MFCC Delta2,MFCC Delta3,MFCC Delta4,MFCC Delta5,MFCC Delta6,MFCC Delta7,MFCC Delta8,MFCC Delta9,MFCC Delta10,MFCC Delta11,MFCC Delta12,gender_label
Man00001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Man00002.wav,169.6431908,331.5370699,273.9989169,288.619783,290.2917404,282.5124476,0.272765828,0.20665891,0.000217975,3418.563403,-4.091609142,12.14742297,12.83825928,17.97958565,-2.021636724,3.400867224,-1.110009909,-28.06551933,-9.106577873,19.93927574,-41.94234467,6.489357948,2.476620197,-8.317148209,-0.033139423,-0.537549853,-0.758690298,0.412994236,-0.034654018,0.200480014,0.161718622,-0.500557244,0.067327142,-0.272296429,0.316063732,-0.070149116,-0.313273519,0
Man00003.wav,249.8109744,266.1986996,249.8109744,249.8109744,249.8109744,251.4553038,-0.382192371,0.20252241,-0.001249695,3646.497835,0.695137205,14.50331479,12.33137347,11.41950607,-2.562649488,17.95889473,-43.5094986,-7.052886486,1.951325893,19.38485336,-43.22218323,19.10157776,1.27098763,1.794713616,-5.434453964,1.145644188,0.294628173,-0.213856101,0.619983196,0.279885083,0.158413768,0.444865823,-0.706165731,0.486925989,0.298062414,0.100086659,0.27990976,0
Man00004.wav,132.332754,357.3910544,261.6255653,261.6255653,304.0208336,283.2674543,-0.541379096,0.18363194,-0.000619281,2370.811738,-9.694651598,8.400886939,17.44697998,44.7882309,10.73146439,45.30819321,-5.048688889,-29.2326107,-4.066634655,15.75614643,-39.67662048,-4.348027229,-16.66039467,-7.457317829,-10.54120922,0.606616139,-0.158844844,0.057066727,-0.292170197,-0.182371169,0.456641316,0.019141814,-0.039116114,-0.041926857,0.482442647,-0.115808174,0.083467104,0
Man00005.wav,86.80420621,266.1986996,110.6372235,189.3213162,223.8455323,171.1466961,-0.671445295,0.26456377,0.000148671,2088.077662,2.141561554,14.18543124,6.606873194,99.04090118,-14.72712708,21.49145126,-1.296038866,-33.12724304,-1.048243403,-2.999066114,-26.33366966,13.34355164,-18.50480843,-11.29988098,-8.583776474,-0.027371852,-0.431129158,0.380141407,0.275388539,-0.090079218,0.017704671,-0.07696265,-0.188740134,-0.012041749,-0.014256299,0.169695675,0.049369033,0
Man00006.wav,130.8127827,131.5705734,130.8127827,130.8127827,130.8127827,130.9643408,0.018944769,0.20185348,0.000547187,3622.396656,-84.84782026,27.6601764,10.02121462,23.03155518,-23.25795364,-9.411765099,-19.01037025,-13.73737049,8.062422752,7.778268337,-19.09750748,1.006855845,15.38530445,13.88146019,0.862425625,3.578760862,-0.654780388,-0.516626716,-2.321934938,0.872939587,-0.830190957,-1.713878274,0.277270824,1.168396711,-1.104198694,-0.843947053,-0.285556108,0
Man00007.wav,130.8127827,329.6275569,261.6255653,261.6255653,325.8414615,278.7563117,-0.031177184,0.19949625,-0.000741127,3199.556475,-7.791646345,11.56343088,12.99663417,27.07105827,-0.765301228,-1.914162874,-39.84667587,-31.1471405,-9.74813652,10.75641346,-35.76197433,7.873834133,-0.681295276,-6.964536667,12.74870872,0.474149108,-0.4092924,0.243487433,-0.017666554,0.23775892,-0.173949555,-0.150661796,0.029810775,-0.056048859,0.097248301,-0.157937989,-0.099756345,0
Man00008.wav,261.6255653,466.1637615,264.6655079,264.6655079,266.584218,287.6034421,0.013829662,0.14913353,-0.00023175,2211.549702,-5.917126337,7.823685584,10.23371165,81.66059875,-19.95487976,37.93055725,-0.830220044,-48.01192474,27.01173019,7.011262894,-47.08206558,12.87787247,-18.85305977,1.178321958,-15.29412365,0.495567054,-0.033890821,-0.40300715,0.197305039,-0.113134108,0.065063573,-0.138557896,-0.377966911,-0.096709989,0.639703751,0.228580937,-0.200860456,0
Man00009.wav,145.9866917,152.0104168,146.832384,146.832384,146.832384,146.8580191,-0.000343777,0.13288854,-0.000409245,2553.815578,2.126466515,17.38990374,16.24452,74.94598389,-23.42425156,54.45804596,-34.11427307,-37.62357712,9.129284859,27.33389854,-62.1765213,29.76952362,-32.50085449,21.3884201,-6.576971531,0.134288684,0.234576553,0.041025687,-0.121648736,-0.219158337,0.164823115,0.067661561,0.078703046,-0.035811968,-0.045344394,-0.016556114,-0.164202899,0
Man00010.wav,229.0776736,327.7290419,249.8109744,249.8109744,251.2581146,255.524723,0.006396338,0.2012663,4.29E-05,2116.081752,-1.505518046,8.346878618,16.56828768,81.79727173,-21.78726006,24.83106232,-20.54717827,-48.28062439,12.09905052,25.90257072,-62.49571991,9.781323433,-18.1950779,5.828682423,-4.009004116,-0.069314837,-0.039389547,-0.010932558,-0.02959859,-0.069374435,-0.08893054,-0.150554642,0.191219077,-0.12677297,-0.076708615,-0.150146946,-0.077092342,0
